"movie_name","movie_lang"
"A Clockwork Orange","English"
"Apocalypse Now","English"
"Blade Runner ","English"
"Eyes Wide Shut","English"
"Forrest Gump","English"
"Gladiator","English"
"Gone with the Wind","English"
"Goodfellas","English"
"Grand Budapest Hotel","English"
"Jaws","English"
"Leon","English"
"Life of Brian","English"
"Life of Pi","English"
"Mary Poppins","English"
"Never Let Me Go","English"
"Oldboy","Korean"
"Pans Labyrinth","Spanish"
"Pulp Fiction","English"
"Raging Bull","English"
"Rushmore","English"
"Spider-Man","English"
"Spider-Man 2","English"
"Spider-Man 3","English"
"Star Wars: A New Hope","English"
"Star Wars: Empire Strikes Back","English"
"Star Wars: Return of the Jedi","English"
"Submarine","English"
"Taxi Driver","English"
"The Darjeeling Limited","English"
"The Fifth Element","English"
"The Shining","English"
"The Sound of Music","English"
"The Wizard of Oz","English"
"There Will Be Blood","English"
"Three Billboards Outside Ebbing, Missouri ","English"
"Titanic","English"
"Top Gun","English"
"Toy Story","English"
"V for Vendetta","English"
"Watchmen","English"
